example_id,node_id,serialization_id,serialization,method,score,binary_prediction,gold_label
spicedhotchocolate,8,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.6760000158846379,0,1
spicedhotchocolate,9,1,"[6, 7, 5, 2, 8, 3, 1, 9]",ares,0.5566929578781128,0,1
spicedhotchocolate,9,1,"[6, 7, 5, 2, 8, 3, 1, 9]",sager,0.5265000075226031,0,1
spicedhotchocolate,1,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.5295276045799255,0,1
spicedhotchocolate,1,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.5897500048826138,0,1
spicedhotchocolate,2,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.6153543591499329,0,0
spicedhotchocolate,2,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.6320000053197146,0,0
spicedhotchocolate,3,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.4464567005634308,1,1
spicedhotchocolate,3,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.4687500077113511,1,1
spicedhotchocolate,5,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.4645668864250183,1,0
spicedhotchocolate,5,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.649000006839633,0,0
spicedhotchocolate,6,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.33228349685668945,1,0
spicedhotchocolate,6,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.698031485080719,0,0
spicedhotchocolate,7,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.38800000578165056,1,0
spicedhotchocolate,8,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.5433070659637451,0,1
spicedhotchocolate,8,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.6760000158846379,0,1
spicedhotchocolate,9,2,"[6, 7, 8, 2, 5, 3, 1, 9]",ares,0.5007873773574829,0,1
spicedhotchocolate,9,2,"[6, 7, 8, 2, 5, 3, 1, 9]",sager,0.5265000075226031,0,1
spicedhotchocolate,1,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.4669291377067566,1,1
spicedhotchocolate,1,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.5897500048826138,0,1
spicedhotchocolate,2,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.5897637605667114,0,0
spicedhotchocolate,2,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.6320000053197146,0,0
spicedhotchocolate,3,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.4913386106491089,1,1
spicedhotchocolate,3,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.4687500077113511,1,1
spicedhotchocolate,5,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.5822834372520447,0,0
spicedhotchocolate,5,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.649000006839633,0,0
spicedhotchocolate,6,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.33228349685668945,1,0
spicedhotchocolate,6,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.698031485080719,0,0
spicedhotchocolate,7,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.38800000578165056,1,0
spicedhotchocolate,8,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.514566957950592,0,1
spicedhotchocolate,8,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.6760000158846379,0,1
spicedhotchocolate,9,3,"[6, 7, 2, 8, 5, 3, 1, 9]",ares,0.5452755689620972,0,1
spicedhotchocolate,9,3,"[6, 7, 2, 8, 5, 3, 1, 9]",sager,0.5265000075226031,0,1
spicedhotchocolate,1,4,"[6, 7, 2, 5, 8, 3, 1, 9]",ares,0.5704724192619324,0,1
spicedhotchocolate,1,4,"[6, 7, 2, 5, 8, 3, 1, 9]",sager,0.5897500048826138,0,1
spicedhotchocolate,2,4,"[6, 7, 2, 5, 8, 3, 1, 9]",ares,0.5897637605667114,0,0
spicedhotchocolate,2,4,"[6, 7, 2, 5, 8, 3, 1, 9]",sager,0.6320000053197146,0,0
spicedhotchocolate,3,4,"[6, 7, 2, 5, 8, 3, 1, 9]",ares,0.5362204909324646,0,1
spicedhotchocolate,3,4,"[6, 7, 2, 5, 8, 3, 1, 9]",sager,0.4687500077113511,1,1
spicedhotchocolate,5,4,"[6, 7, 2, 5, 8, 3, 1, 9]",ares,0.4472440779209137,1,0
spicedhotchocolate,5,4,"[6, 7, 2, 5, 8, 3, 1, 9]",sager,0.649000006839633,0,0
spicedhotchocolate,6,4,"[6, 7, 2, 5, 8, 3, 1, 9]",ares,0.33228349685668945,1,0
spicedhotchocolate,6,4,"[6, 7, 2, 5, 8, 3, 1, 9]",sager,0.9499999999999976,0,0
spicedhotchocolate,7,4,"[6, 7, 2, 5, 8, 3, 1, 9]",ares,0.698031485080719,0,0
spicedhotchocolate,7,4,"[6, 7, 2, 5, 8, 3, 1, 9]",sager,0.38800000578165056,1,0
spicedhotchocolate,8,4,"[6, 7, 2, 5, 8, 3, 1, 9]",ares,0.5649606585502625,0,1
spicedhotchocolate,8,4,"[6, 7, 2, 5, 8, 3, 1, 9]",sager,0.6760000158846379,0,1
spicedhotchocolate,9,4,"[6, 7, 2, 5, 8, 3, 1, 9]",ares,0.49251967668533325,1,1
spicedhotchocolate,9,4,"[6, 7, 2, 5, 8, 3, 1, 9]",sager,0.5265000075226031,0,1
tomatomozzarellasalad,1,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.47886794805526733,1,1
tomatomozzarellasalad,1,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.720000009983778,0,1
tomatomozzarellasalad,2,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.5475471615791321,0,1
tomatomozzarellasalad,2,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.05700000084936619,1,1
tomatomozzarellasalad,3,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.4000000059604645,1,1
tomatomozzarellasalad,3,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.5343000138998029,0,1
tomatomozzarellasalad,4,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.5252830386161804,0,1
tomatomozzarellasalad,4,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.8100000113248825,0,1
tomatomozzarellasalad,5,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.5324528813362122,0,1
tomatomozzarellasalad,5,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.24000000596046447,1,1
tomatomozzarellasalad,6,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.499245285987854,1,1
tomatomozzarellasalad,6,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.7720000014454126,0,1
tomatomozzarellasalad,7,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.7649056315422058,0,1
tomatomozzarellasalad,7,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.9499999999999976,0,1
tomatomozzarellasalad,8,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.639622688293457,0,1
tomatomozzarellasalad,8,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.4100000029057264,1,1
tomatomozzarellasalad,9,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.4664151072502136,1,1
tomatomozzarellasalad,9,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.633500008508563,0,1
tomatomozzarellasalad,10,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",ares,0.45018869638442993,1,1
tomatomozzarellasalad,10,0,"[7, 4, 1, 2, 9, 8, 5, 6, 3, 10]",sager,0.47895000782609076,1,1
tomatomozzarellasalad,1,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.47886794805526733,1,1
tomatomozzarellasalad,1,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.720000009983778,0,1
tomatomozzarellasalad,2,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.5475471615791321,0,1
tomatomozzarellasalad,2,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.05700000084936619,1,1
tomatomozzarellasalad,3,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.5169811844825745,0,1
tomatomozzarellasalad,3,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.5343000138998029,0,1
tomatomozzarellasalad,4,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.5252830386161804,0,1
tomatomozzarellasalad,4,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.8100000113248825,0,1
tomatomozzarellasalad,5,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.4245283305644989,1,1
tomatomozzarellasalad,5,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.24000000596046447,1,1
tomatomozzarellasalad,6,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.4147169888019562,1,1
tomatomozzarellasalad,6,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.7720000014454126,0,1
tomatomozzarellasalad,7,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.7649056315422058,0,1
tomatomozzarellasalad,7,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.9499999999999976,0,1
tomatomozzarellasalad,8,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.36150944232940674,1,1
tomatomozzarellasalad,8,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.4100000029057264,1,1
tomatomozzarellasalad,9,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.4437735974788666,1,1
tomatomozzarellasalad,9,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.633500008508563,0,1
tomatomozzarellasalad,10,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",ares,0.4588679075241089,1,1
tomatomozzarellasalad,10,1,"[7, 4, 1, 2, 6, 9, 8, 5, 3, 10]",sager,0.47895000782609076,1,1
tomatomozzarellasalad,1,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.47886794805526733,1,1
tomatomozzarellasalad,1,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.720000009983778,0,1
tomatomozzarellasalad,2,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.5475471615791321,0,1
tomatomozzarellasalad,2,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.05700000084936619,1,1
tomatomozzarellasalad,3,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.5947169661521912,0,1
tomatomozzarellasalad,3,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.5343000138998029,0,1
tomatomozzarellasalad,4,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.5252830386161804,0,1
tomatomozzarellasalad,4,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.8100000113248825,0,1
tomatomozzarellasalad,5,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.4535849094390869,1,1
tomatomozzarellasalad,5,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.24000000596046447,1,1
tomatomozzarellasalad,6,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.42075473070144653,1,1
tomatomozzarellasalad,6,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.7720000014454126,0,1
tomatomozzarellasalad,7,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.7649056315422058,0,1
tomatomozzarellasalad,7,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.9499999999999976,0,1
tomatomozzarellasalad,8,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.5467925071716309,0,1
tomatomozzarellasalad,8,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.4100000029057264,1,1
tomatomozzarellasalad,9,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.40566039085388184,1,1
tomatomozzarellasalad,9,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.633500008508563,0,1
tomatomozzarellasalad,10,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",ares,0.508301854133606,0,1
tomatomozzarellasalad,10,2,"[7, 4, 1, 2, 5, 9, 6, 8, 3, 10]",sager,0.47895000782609076,1,1
tomatomozzarellasalad,1,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.47886794805526733,1,1
tomatomozzarellasalad,1,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.720000009983778,0,1
tomatomozzarellasalad,2,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.5475471615791321,0,1
tomatomozzarellasalad,2,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.05700000084936619,1,1
tomatomozzarellasalad,3,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.5230188965797424,0,1
tomatomozzarellasalad,3,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.5343000138998029,0,1
tomatomozzarellasalad,4,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.5252830386161804,0,1
tomatomozzarellasalad,4,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.8100000113248825,0,1
tomatomozzarellasalad,5,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.37132078409194946,1,1
tomatomozzarellasalad,5,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.24000000596046447,1,1
tomatomozzarellasalad,6,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.5701887011528015,0,1
tomatomozzarellasalad,6,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.7720000014454126,0,1
tomatomozzarellasalad,7,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.7649056315422058,0,1
tomatomozzarellasalad,7,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.9499999999999976,0,1
tomatomozzarellasalad,8,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.5422641634941101,0,1
tomatomozzarellasalad,8,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.4100000029057264,1,1
tomatomozzarellasalad,9,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.4664151072502136,1,1
tomatomozzarellasalad,9,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.633500008508563,0,1
tomatomozzarellasalad,10,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",ares,0.46377357840538025,1,1
tomatomozzarellasalad,10,3,"[7, 4, 1, 2, 9, 5, 6, 8, 3, 10]",sager,0.47895000782609076,1,1
tomatomozzarellasalad,1,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.47886794805526733,1,1
tomatomozzarellasalad,1,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.720000009983778,0,1
tomatomozzarellasalad,2,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.5475471615791321,0,1
tomatomozzarellasalad,2,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.05700000084936619,1,1
tomatomozzarellasalad,3,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.5120754837989807,0,1
tomatomozzarellasalad,3,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.5343000138998029,0,1
tomatomozzarellasalad,4,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.5252830386161804,0,1
tomatomozzarellasalad,4,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.8100000113248825,0,1
tomatomozzarellasalad,5,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.37132078409194946,1,1
tomatomozzarellasalad,5,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.24000000596046447,1,1
tomatomozzarellasalad,6,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.4698113203048706,1,1
tomatomozzarellasalad,6,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.7720000014454126,0,1
tomatomozzarellasalad,7,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.7649056315422058,0,1
tomatomozzarellasalad,7,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.9499999999999976,0,1
tomatomozzarellasalad,8,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.4709434509277344,1,1
tomatomozzarellasalad,8,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.4100000029057264,1,1
tomatomozzarellasalad,9,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.4664151072502136,1,1
tomatomozzarellasalad,9,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.633500008508563,0,1
tomatomozzarellasalad,10,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",ares,0.44566041231155396,1,1
tomatomozzarellasalad,10,4,"[7, 4, 1, 2, 9, 5, 8, 6, 3, 10]",sager,0.47895000782609076,1,1
breakfastburritos,1,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.44145455956459045,1,0
breakfastburritos,1,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.2180000028014183,1,0
breakfastburritos,2,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.48872730135917664,1,0
breakfastburritos,2,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.9560000002384186,0,0
breakfastburritos,3,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.49345457553863525,1,0
breakfastburritos,3,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.6485000187158585,0,0
breakfastburritos,4,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.45636361837387085,1,1
breakfastburritos,4,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.5306000072509044,0,1
breakfastburritos,5,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.4741818606853485,1,0
breakfastburritos,5,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.5594000052884216,0,0
breakfastburritos,6,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.5978181958198547,0,0
breakfastburritos,6,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.9499999999999976,0,0
breakfastburritos,7,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.5083636045455933,0,1
breakfastburritos,7,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.4501500056982037,1,1
breakfastburritos,8,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.4745454788208008,1,1
breakfastburritos,8,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.4084500057697295,1,1
breakfastburritos,9,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.49563637375831604,1,0
breakfastburritos,9,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.7230000111460686,0,0
breakfastburritos,10,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.5014545917510986,0,0
breakfastburritos,10,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.9499999999999976,0,0
breakfastburritos,11,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.5014545321464539,0,0
breakfastburritos,11,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.25900000385940075,1,0
breakfastburritos,12,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",ares,0.5250909328460693,0,1
breakfastburritos,12,0,"[10, 6, 1, 2, 9, 3, 11, 5, 8, 4, 7, 12]",sager,0.4999500061720608,1,1
breakfastburritos,1,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.44145455956459045,1,0
breakfastburritos,1,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.2180000028014183,1,0
breakfastburritos,2,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.48872730135917664,1,0
breakfastburritos,2,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.9560000002384186,0,0
breakfastburritos,3,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.6210909485816956,0,0
breakfastburritos,3,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.6485000187158585,0,0
breakfastburritos,4,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.5250909328460693,0,1
breakfastburritos,4,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.5306000072509044,0,1
breakfastburritos,5,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.4832727313041687,1,0
breakfastburritos,5,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.5594000052884216,0,0
breakfastburritos,6,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.5978181958198547,0,0
breakfastburritos,6,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.9499999999999976,0,0
breakfastburritos,7,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.4938181936740875,1,1
breakfastburritos,7,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.4501500056982037,1,1
breakfastburritos,8,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.46618181467056274,1,1
breakfastburritos,8,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.4084500057697295,1,1
breakfastburritos,9,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.4370909333229065,1,0
breakfastburritos,9,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.7230000111460686,0,0
breakfastburritos,10,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.5014545917510986,0,0
breakfastburritos,10,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.9499999999999976,0,0
breakfastburritos,11,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",ares,0.47781819105148315,1,0
breakfastburritos,11,1,"[10, 6, 1, 2, 3, 11, 9, 5, 8, 4, 7, 12]",sager,0.25900000385940075,1,0
