method,recipe_name,fold,threshold,num_orderings,mean_f1,min_f1,max_f1,delta_f1,mean_pairwise_jaccard,exact_match_rate,flip_rate,num_zero_predicted_positive_orderings
ares,spicytunaavocadowraps,3,0.17491750419139862,10,0.820593149540518,0.6666666666666666,0.9,0.2333333333333334,0.7859026159026159,0.0,0.4444444444444444,0
ares,tomatochutney,2,0.17491750419139862,10,0.8870406639358253,0.7407407407407407,1.0,0.2592592592592593,0.7536858076563959,0.2,0.5,0
ares,tomatomozzarellasalad,1,0.29898306727409363,10,0.4230769230769231,0.33333333333333337,0.4615384615384615,0.12820512820512814,0.7333333333333333,0.0,0.2,0
ares,zoodles,3,0.17491750419139862,10,0.47760233918128653,0.25,0.6,0.35,0.7282539682539683,0.0,0.2857142857142857,0
sager,blenderbananapancakes,1,0.05017921328544617,10,0.09833333333333334,0.0,0.4,0.4,0.5003703703703704,0.0,0.3333333333333333,0
sager,breakfastburritos,0,0.08041958510875702,10,0.609090909090909,0.5454545454545454,0.6666666666666665,0.1212121212121211,0.8746031746031745,0.0,0.16666666666666666,0
sager,broccolistirfry,0,0.08041958510875702,10,0.39705657305657305,0.24000000000000002,0.4444444444444445,0.20444444444444446,0.9024338624338624,0.0,0.15384615384615385,0
sager,buttercorncup,2,0.1258741319179535,10,0.6972136222910216,0.6666666666666665,0.7368421052631579,0.07017543859649134,0.9358585858585857,0.0,0.15384615384615385,0
sager,capresebruschetta,2,0.1258741319179535,10,0.2074747474747475,0.18181818181818182,0.22222222222222224,0.040404040404040414,0.8619047619047618,0.0,0.16666666666666666,0
sager,cheesepimiento,1,0.05017921328544617,10,0.7408241758241758,0.5,0.875,0.375,0.7391622574955908,0.0,0.5,0
sager,coffee,3,0.04026845470070839,10,0.6208513708513708,0.4444444444444445,0.7272727272727272,0.2828282828282827,0.7747733747733747,0.0,0.4117647058823529,0
sager,cucumberraita,4,0.07348242402076721,10,0.5031746031746032,0.4444444444444444,0.5714285714285715,0.1269841269841271,0.8725925925925926,0.0,0.16666666666666666,0
sager,dressedupmeatballs,0,0.08041958510875702,10,0.30857142857142855,0.2857142857142857,0.4,0.11428571428571432,0.9407407407407408,0.0,0.058823529411764705,0
sager,herbomeletwithfriedtomatoes,4,0.07348242402076721,10,0.5447740563530037,0.4444444444444444,0.7272727272727272,0.28282828282828276,0.8195502645502646,0.0,0.375,0
sager,microwaveeggsandwich,0,0.08041958510875702,10,0.20444444444444443,0.0,0.25,0.25,0.782962962962963,0.0,0.23076923076923078,0
sager,microwavefrenchtoast,2,0.1258741319179535,10,0.5300366300366302,0.3333333333333333,0.6153846153846153,0.282051282051282,0.8908730158730159,0.0,0.25,0
sager,microwavemugpizza,1,0.05017921328544617,10,0.8015810276679842,0.7272727272727273,0.8695652173913043,0.14229249011857703,0.912962962962963,0.0,0.2,0
sager,mugcake,4,0.07348242402076721,10,0.7976865535486224,0.7407407407407408,0.8666666666666667,0.12592592592592589,0.9022832722832722,0.0,0.19047619047619047,0
sager,panfriedtofu,3,0.04026845470070839,10,0.7638290079405208,0.6666666666666666,0.8484848484848485,0.18181818181818188,0.7869078742608154,0.0,0.35,0
sager,pinwheels,0,0.08041958510875702,9,0.7770017097186175,0.6896551724137931,0.8125000000000001,0.12284482758620696,0.8952737077737078,0.0,0.2,0
sager,ramen,4,0.07348242402076721,10,0.6391608391608391,0.5454545454545454,0.6666666666666666,0.12121212121212122,0.9240740740740742,0.0,0.125,0
sager,sautedmushrooms,1,0.05017921328544617,10,0.7292490118577076,0.6666666666666667,0.8181818181818181,0.15151515151515138,0.8435016835016835,0.0,0.21052631578947367,0
sager,scrambledeggs,2,0.1258741319179535,10,0.8774637127578304,0.8571428571428571,0.9090909090909091,0.051948051948051965,0.9398245614035088,0.0,0.125,0
sager,spicedhotchocolate,3,0.04026845470070839,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0
sager,spicytunaavocadowraps,3,0.04026845470070839,10,0.5985414516683867,0.4,0.7777777777777778,0.37777777777777777,0.6551819785153118,0.0,0.4444444444444444,0
sager,tomatochutney,2,0.1258741319179535,10,0.8150246305418719,0.7857142857142858,0.8275862068965517,0.0418719211822659,0.9537037037037036,0.0,0.1,0
sager,tomatomozzarellasalad,1,0.05017921328544617,10,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,1.0,0.0,0.0,0
sager,zoodles,3,0.04026845470070839,10,0.38954248366013067,0.3529411764705882,0.4444444444444444,0.09150326797385622,0.8933333333333334,0.0,0.07142857142857142,0
